ASIN,Title,Manufacturer,Product_Dimensions_inches,Batteries,Date_First_Available,Item_Weight,Is_Discontinued_By_Manufacturer,Item_model_number,seller,Seller_rank,Seller_category
B01C7T4I1S,Aduro Amplify Pro SBN45 Wireless Stereo Bluetooth Around The Neck Earbud Headphone Headset (Black/Gray),Aduro,8.2 x 6.7 x 2.7 ,,2016-02-25,0.5632,No,AY-SBN45-12,Entronik,829,Earbud
B086M3X7BS,Wireless Earbuds TaoTronics SoundLiberty 53 [2020 Upgrade] in-Ear Wireless Headphones IPX8 50H Playtime TWS Bass Stereo Bluetooth Earbuds Bluetooth 5.0 Earphones with Built-in Mic,TaoTronics,3.23 x 1.54 x 1.1 ,1 Lithium ion batteries required.,2020-04-01,0.304,,TT-BH053US,,573,Earbud
B07XKZKTFM,"Long Headset Splitter Cable (4ft/1.2m), 3-Pole TRS Microphone(Male) & Audio(Male) to Single 4-Pole TRRS (Famle) Jack Headphone Adapter / Crystal-Nylon Braided / 24K Gold Plated / 99.99% 4N OFC",DuKabel,6 x 3 x 0.6 ,,2019-09-27,0.2304,No,D2M1F120,DUKABEL US,171,HeadphoneAdapters
B00BQ4PEX2,Sony MDRX05/WS Simon Cowell X Headphones (White/Silver),Sony,7 x 4 x 6 ,2 Lithium ion batteries required. (included),2013-03-15,1,No,MDRX05/WS,Lots Deals 4 U,7256,Earbud
B07Y6KC18Y,"QC35 Headphones Replacement Ear Pads, QC35,QC35ii Replacement Earpads Cushion - Compatible for Quiet Comfort35,QC25,QC35ii,QC15,AE2,AE2i-Comfortable & Durable（Black）",TviewSmart,8.1 x 4.6 x 1.5 ,,2019-09-21,0.3824,,,SmartTview,377,HeadphoneEarpads
B08KD2295B,"[Apple MFi Certified]for Apple Lightning to 3.5 mm Headphone Jack Adapter,2 Pack Headphones/Earphones Jack Adapter Cord Dongle Aux Cable Converter Accessories Compatible with iPhone 11/Xs/XR/X/8P/8/7",Belcompany,6.54 x 4.25 x 0.39 ,,2020-05-10,0.05072,,,Weimocs,198,HeadphoneAdapters
B08MLGFMLC,"[Apple MFi Certified] iPhone Headphone Adapter, 2 in 1 Lightning to 3.5mm AUX Audio + Charger Splitter Dongle Compatible with iPhone 12/12 Pro/11/XS/XR/X 8/7/iPad Accessory Connector Earphone Adaptor",Woodford Design,7.64 x 3.23 x 0.35 ,,2020-11-03,0.02816,,,McGee Accessories,193,HeadphoneAdapters
B08R9SRTGF,"Wireless Earbuds, GAMURRY Bluetooth 5.0 Wireless Headphones with Fidelity Sound,Smart Touch Control, IP67 Waterproof, 25Hrs Playtime with Type-C Stereo in-Ear Earphones Built-in Mic for Sport",GAMURRY,3.54 x 2.8 x 2.01 ,1 Lithium Polymer batteries required. (included),2020-12-25,0.6144,,,ISECO,980,Earbud
B08HM144KR,WZS 3.5mm in-Ear Wired Earbuds/Earphones/Headphones with Remote & Micphone Compatible with iPhone 6s plus/6/5s/5c/Pad/S10 Android All 3.5 mm Audio Devices (2 Pack)-002,WZS,5.91 x 3.9 x 0.63 ,,2020-09-07,0.3488,,,E-BaBy,315,Earbud
B07THLNKH3,"Sony WI-C200 Wireless in-Ear Headset/Headphones with mic for Phone Call, Black (WIC200/B)",Sony,3.16 x 0.69 x 7.31 ,1 Lithium Metal batteries required. (included),2019-06-25,0.1072,,WIC200/B,1 SHOP DIRECT,895,Earbud
B085XT214K,"USB C to 3.5mm Headphone Jack Adapter, USB C to Aux Audio Dongle Cable Cord Compatible with Google Pixel 4 3 2 XL, Samsung Galaxy S20 Ultra S20+ Note 10 S10 Plus, iPad Pro 2018/2020 (2 Pack)",MoonshineStillPro,2.2 x 0.2 x 6.4 ,,2020-03-16,0.1296,,MoonshineStillPro,Wonghow,61,HeadphoneAdapters
B085NSZX3D,Bluetooth 5.0 Bluetooth Headphones Noise Cancelling True Wireless Earbuds HD Stereo Bass Sound Mini in Ear Bluetooth Earbuds with Built in Mic and Charging Case for Sports Running,Evetebol,5.24 x 4.88 x 2.52 ,,2020-03-09,0.02256,,,hnxsdnf,911,Earbud
B0756T7R5T,"Anker Soundbuds Slim+ Bluetooth Headphones, Bluetooth 5 Lightweight Stereo Earbuds with Customizable Accessories, 10-Hour Playtime, IPX7 Waterproof Magnetic Wireless Earbuds for Workout, Sports, Gym",Fantasia Trading LLC,34 x 19 x 12 ,1 Lithium Polymer batteries required.,2017-08-25,0.0768,No,A3412011,AnkerDirect,368,Earbud
B08LKZXWCH,"EKSA Computer Headset with Microphone, Lightweight Call Center Headset Noise Cancelling, Retractable Mic 3.5mm Wired PC Headphones with Inline Control Mute, Business Headset for Skype Cell Phone",EKSA-Tech,7.87 x 7.17 x 2.8 ,,2020-10-21,1.232,,,EKSA Telecom,45,ComputerHeadsets
B00NB8FTQI,"JVC HAEB75R Sports Clip Headphone, Red",JVC,3.9 x 1.6 x 4.4 ,,2014-09-08,0.256,No,HAEB75R,,1250,Over-EarHeadphones
B07L4MBBHQ,Wireless Beanie - Wireless Headphones Hat and Scarf Set for Winter Outdoor Men Women Warm Knitted Music Hat,S SWIRLLINE,9.06 x 9.06 x 1.97 ,1 Lithium ion batteries required. (included),2018-12-03,1.408,No,,SWIRLLINE,1047,Over-EarHeadphones
B07VJMBX1L,co2crea Hard Travel Case Replacement for AfterShokz Aeropex/Air/Titanium Mini/Open-Ear Wireless Bone Conduction Headphones (Black Case + Pink Zipper),co2crea,6 x 5 x 3 ,,2019-07-23,0.896,,,co2crea,2212,HeadphoneCases
B08L65D5C6,"Earbuds Headphone Wired Earphones Headset with Microphone and Volume Control, Isolation Noise,Suitable for iPhone 12/12 Pro/iPhone 11/11 Pro/Max/X/XS/XR/8/8 Plus/7/7 Plus (White)",GYLM,4.57 x 3.54 x 1.06 ,,2020-11-13,0.2304,,,GYLM,597,Earbud
B072DVLDKC,"Hosa HXSS-010 REAN 1/4"" TRS to 1/4"" TRS Pro Headphone Extension Cable, 10 Feet",,10 x 1 x 4 ,,2017-05-26,0.672,No,HXSS-010,,102,HeadphoneExtension
B07GQVKPX1,"Neewer USB Microphone with Suspension Scissor Arm Stand, Shock Mount, Monitor Headphone, Pop Filter, USB Cable and Table Mounting Clamp Kit for Sound Recording for Windows and Mac (Blue/Silver)",,16.54 x 7.6 x 4.61 ,,2018-08-21,3.37,No,40094066,JundadeUS,468,MusicalInstruments
B08MWJ5KD8,"Wireless Earbuds, Air Podswireless Bluetooth Headphones with Charging Case, 3D Stereo Air Buds in-Ear Ear Buds, Compatible with iPhone/Android/Samsung",SoSickWithIt,3.35 x 3.31 x 1.46 ,1 Lithium ion batteries required. (included),2020-10-09,0.4624,,WIRELESS EARBUDS HEADPHONES,YXKJ,435,Earbud
B0768K1JZC,Sony Wireless RF Headphones for Watching TV (MDR-RF912RK),Sony,9.5 x 4.88 x 11.31 ,2 AAA batteries required. (included),2017-10-15,1.84,No,MDR-RF912RK,,693,Over-EarHeadphones
B01N7CV2TS,JBL E55BT Over-Ear Wireless Headphones Black,JBL,4.17 x 9.61 x 8.82 ,1 Lithium Polymer batteries required.,2017-02-24,1,No,2,PrimeTimeDeals,981,Over-EarHeadphones
B086N9XDNS,"Bang & Olufsen Beoplay H9 3rd Gen Wireless Bluetooth Over-Ear Headphones (Amazon Exclusive Edition) - Active Noise Cancellation, Transparency Mode, Voice Assistant Button and Mic, Argilla Bright",Bang & Olufsen,7.6 x 8 x 2 ,1 Lithium ion batteries required. (included),2020-08-03,1.664,,Beoplay H9 3rd Generation,,1520,Over-EarHeadphones
B07R6MKJZH,Anker USB-C to Lightning Audio Adapter,Anker,5 x 0.28 x 0.2 ,,2019-04-24,0.128,,AK-A8178021,,39,HeadphoneAdapters
B08PNZNNHX,"Bluetooth Headphones, Magnetic Wireless Earbuds with Build-in Microphone Sweatproof Earpiece Noise Cancelling Sports Earphones for Workout and Running (Black)",SAN.COMO,5.9 x 3.9 x 0.9 ,,2020-12-04,0.512,,,SAN.COMO,3080,Earbud
B08GBZD61F,"COZOO RGB Headphone Stand with 2 USB2.0 Extension Charging Port Extender Cord,Headset Stand Holder for Gamer Desktop Table Game Earphone Accessories",cozoo,10.59 x 5.35 x 4.69 ,,2020-08-20,2.176,,,CoZoo,59,HeadphoneStands
B08GCC4SHT,"AUKEY True Wireless Earbuds, Bluetooth 5 Headphones with aptX Deep Bass, 4 Microphones, CVC 8.0 Noise Reduction, IPX7 Waterproof, Type C Quick Charge Earphones for iPhones and Android",AUKEY,2.17 x 0.79 x 1.57 ,2 Lithium Polymer batteries required. (included),2020-08-20,0.736,No,AUKEY EP-T27,BLAUD US,282,Earbud
B08MSZW6SN,"USB C to 3.5mm Headphone Jack Adapter,USB C Headphone Adapter Type C to 3.5mm Aux Audio Cable Cord Compatible with Pixel 4/3/2 XL,Samsung Galaxy S20 Ultra Z Flip S20+ Note 10 S10 S9 Plus -Grey",Baorose,3.8 x 0.7 x 0.2 ,,2020-03-20,0.10144,,USB C to 3.5mm Headphone Jack Adapter,QGode,1194,HeadphoneAdapters
B084VJX286,"Falwedi IPX8 Waterproof Bluetooth 5.0 True Wireless Earbuds, 30H Cyclic Playtime Stereo Headphones for iPhone Android with Charging Case, in-Ear Earphones Headset with mic for Sport/Travel/Gym",FALWEDI,2.36 x 2.36 x 1.38 ,1 Lithium Polymer batteries required. (included),2020-02-17,0.4112,,,Falwedi Direct,71,Earbud
B07W549S56,RGB Headphone Stand with Wireless Charger KAFRI Desk Gaming Headset Holder Hanger Rack with 10W/7.5W Fast Charge QI Wireless Charging Pad - Suitable for Gamer Desktop Table Game Earphone Accessories,KAFRI,8.66 x 5.28 x 1.81 ,,2019-08-05,1.808,,,Kafri,29,HeadphoneStands
B08NVTHLMH,"[Apple MFi Certified] 2Pack Lightning to 3.5mm Headphones Jack Adapter for iPhone, 2 in 1 Charger + Aux Audio Splitter Dongle Adapter for iPhoneSE/11 Pro/XS/XR/X 8 7/iPad, Support All iOS Systems",esbeecables,5.91 x 3.94 x 0.59 ,,2020-12-31,0.05648,,,Glaida,509,HeadphoneAdapters
B08BQY2212,"Classroom Headphones Bulk - QWERDF 12 Packs Earphones in 4 Colors for Kids Teens College Students in Classes Libraries or Home (12 Pack, 4 Colors)",QW,10 x 7 x 2 ,,2020-06-24,1.5,,,QWERDF Wholesale,2246,Earbud
B00T2YA244,Sennheiser HDR 175 Accessory RF Wireless Headphone for RS 175 System,Sennheiser,8.39 x 4.65 x 7.99 ,2 AA batteries required.,2015-03-02,1.744,No,505582,,421,On-EarHeadphones
B08D6KQPF4,"Hi-Res Certified DAC 3.5MM to USB C Headphone Adapter Al Alloy Head for Samsung Galaxy S20/+ FE Ultra Z Flip Note 10 S10 S9 Plus S6, Pixel 4 3 2 XL, iPad Pro, Oneplus 7, AUX- Type C Audio Converter",CPLUS TECHNOLOGY CO LIMITED,3.94 x 0.39 x 0.39 ,,2020-07-17,0.05632,Yes,USBC35FA,CPLUS TECH-USA,184,HeadphoneAdapters
B06XG2N7SQ,"Tosnail Full-Sized Hard Headphone Case - Great Protection for Audio Technica, Beats, Sony and More - Black",Tosnail,8.66 x 6.69 x 3.15 ,,2017-03-07,0.784,No,4330151206,Tosnail,3046,HeadphoneCases
B07W6NB9VR,"Clip Type Earphones，Portable Stereophone Headphones,with Microphone and Call Controller Stereo Earphones,Suitable for Compatible with 3.5mm iPhone, Android Mobile Phone White",leqingchun,6.88 x 3.14 x 1.18 ,,2019-08-07,0.2816,,AA019,leqingchun,1493,Over-EarHeadphones
B083S87PZT,"Noise Cancelling Headphones Wireless Bluetooth 5.0,Fast Charge Over-Ear Lightweight Srhythm NC35 Headset with Microphones,Mega Bass 40+ Hours’ Playtime -Low Latency",Srhythm,8.27 x 5.91 x 3.15 ,1 Lithium Polymer batteries required. (included),2020-04-08,1.008,No,NC35,Srhythm US,1211,Over-EarHeadphones
B07WRFN6GH,"Blade Hawks RGB Gaming Headphone Stand with 3.5mm AUX and 2 USB Ports, Durable Headset Stand Holder for Bose, Beats, Sony, Sennheiser, Jabra, JBL, AKG, Fancy Gaming Accessories - HS18 (Only for PC)",Blade Hawks,4 x 4.72 x 11.1 ,,2019-08-19,1.19,,HS18,USZTL,39,HeadphoneStands
B08K44HN8K,"SARLAR Stereo In-Ear Headphones for Oculus Quest 2, Stereo Earbuds 360 Degree Sound, Noise Suppressing,Left/Right Single Sound Channel",SARLAR,5.08 x 3.82 x 1.54 ,,2020-09-26,0.3824,,,SARLAR,1459,Earbud
B07ZSHFDX1,"CN-Outlet Kids Bulk Earbud Headphones 50 Pack Multi Colored, Individually Bagged, Wholesale Disposable Earphones Perfect for School Classroom Libraries Students (50Mixed)",CN-Outlet,10.16 x 6.93 x 2.13 ,,2019-10-30,2.48,,,CN-Outlet,1014,Earbud
B08927VCX6,"Mpow BH129 Bluetooth Receiver for Car, Aux Bluetooth Car Adapter 5.0 for Wired Speakers/Headphones/Home Music Streaming Stereo,15-Hour Battery Life,Easy Control On/Off Slider, Built-in Microphone",Mpow,6.3 x 5.55 x 0.75 ,1 Lithium ion batteries required. (included),2020-05-21,0.512,,Mpow BH129BS,MpowTech,27,BluetoothCar
B07XPTNW7V,Premium Replacement Ear Pads for Bose QC35 & QC35ii Headphones Made by GEVO- Comfortable Adaptive Memory Foam and Extra Durable - Fits QuietComfort 35 & 35ii / SoundLink 1&2 AE（Over-Ear） (Black),GEVO,9.09 x 5.08 x 0.75 ,,2019-08-08,0.1632,,,GEVO Wireless,322,HeadphoneEarpads
B08CDJFSNG,"2 Pack-Apple Earbuds/Headphones/Earphones with 3.5mm Wired in Ear Headphone Plug(Built-in Microphone & Volume Control) [Apple MFi Certified] Compatible with iPhone,iPad,iPod,Computer,MP3/4,Android",YHSRBD,1 x 1 x 1 ,,2020-07-18,0.512,,,Tobey Partridge,251,Earbud
B085H8XLZ8,KNOW - Calm Headphones - Wireless Noise Cancelling Headphones Bluetooth - Wireless Bluetooth Headphones Wireless - Wireless Bluetooth Headphones Over Ear Headphones - Workout Headphones - Sage,Know,3 x 3 x 0.5 ,,2020-04-14,0.16,,,KNOW Headphones,5757,AmazonLaunchpad
B0839PYN8M,"Trolls World Tour Poppy Kids Headphones, Glow in The Dark, Stereo Sound, 3.5mm Jack, Wired Headphones for Kids, Tangle-Free, Volume Control, Childrens Headphones Over Ear for School Home, Travel",KIDdesigns,11.18 x 8.11 x 2.8 ,,2017-09-06,1.008,No,TR-140v2,,1465,Over-EarHeadphones
B08KXZQGR6,"Ifecco Bluetooth Headphones, Bluetooth Foldable Over-Ear Headsets with Micro Support SD/TF Card Compatible with Bluetooth-Enabled Devices, Pink",I LOVE EF IFECCO,6.22 x 5.16 x 3.66 ,1 Lithium Polymer batteries required. (included),2020-10-09,1.744,,,,715,Over-EarHeadphones
B08PF84MQG,"MIATIN Headset Splitter Headphone Microphone Adapter, 3.5mm 4 Pole Male to 2 x 3 Pole Female Headphone Y Splitter for Audio Stereo Headphone and MIC for Phones, Computers, MP3, Tablet -15CM",MIATIN,2.1 x 2.1 x 0.2 ,,2020-12-02,0.1296,,,MIATIN,1007,HeadphoneAdapters
B07Q5CP9ML,Kids Bluetooth Headphones for Kids Spiderman Far from Home Wireless Rechargeable Foldable Bluetooth Headphones with Microphone Kid Friendly Sound and Bonus Detachable Cord,Kid Designs,6 x 3 x 7 ,1 Lithium ion batteries required. (included),,2.192,No,B07Q5CP9ML,YellowDeal,599,Over-EarHeadphones
B06Y6B4FGB,"SONY Genuine Replacement Ear Pads cushions for SONY MDR-RF985R, RF985RK, RF865R, RF865RK Headphones - 1 pair (2 pieces)",Sony,4.5 x 4.5 x 2.5 ,,2017-04-11,0.2816,No,8541766479,MacMaxe,230,HeadphoneEarpads
B086LD6CQ9,"Bluetooth Headphones with Microphone, Wireless Bluetooth Headset on Ear, Noise Canceling PC Headset with Mute Key Clear Sound for Cell Phones Tablet Home Office Skype, Truck Drive, Call Center",Knofarm,6.4 x 6 x 2.2 ,1 Lithium Polymer batteries required. (included),2020-05-30,0.288,,SK-BH-M97,Renhoo,1620,Earbud
B07W87HQ6G,"[Xmythorig Ultimate] True Wireless Earbuds Bluetooth 5.0 Headphones, IPX7 Waterproof Earphones for Sports, 110H Playtime w/ 3300mAh Charging Case, 3D Stereo Audio Touch Control in-Ear Headset w/Mic",Xmyth,3.23 x 1.97 x 1.22 ,2 Lithium Polymer batteries required. (included),2019-08-09,0.6208,,,xmyth,329,Earbud
B08GCFMKF7,"Wireless Earbuds, Bluetooth 5.1 Sport Headphones 40H Playtime TWS Earhooks Headset, HiFi Stereo Sound, Bluetooth Headphones with LED Display, IP7, CVC8.0 Noise Cancelling Mic for Running and Gym",iporachx,0.39 x 0.79 x 0.39 ,2 Lithium Polymer batteries required. (included),2020-09-15,0.02816,,,PIBO,310,Earbud
B07GT55B37,NY Over Ear Best Stereo Extra Bass Portable Headphones Headset for Apple iPhone iPod/Samsung Galaxy / mp3 Player / 3.5mm Jack Plug Cell Phone with Mic (Snow White) …,Sony,8.43 x 7.83 x 2.17 ,,2016-11-30,1.248,No,,Priority Sales Inc,561,Over-EarHeadphones
B084V2X7LV,"ROCKPAPA I22 Foldable Adjustable On Ear Headphones Without Microphone for Kids/Adults, Laptop Tablet MP3/4 DVD Mobile in Car/Airplane Black/Orange",RockPapa Inc,6.69 x 7.09 x 3.15 ,,2020-02-16,1.296,,I20,RockPapaDirect,1763,On-EarHeadphones
B084LT8ZMM,"Morpheus 360 Bluetooth Headphones, Wireless Headphones Over Ear, Wireless Headset with Microphone, Black with Gold Accents, Comfortable Design HP5500G","Creative Marketing, Inc.",3.25 x 3.25 x 6.25 ,1 Lithium ion batteries required. (included),2020-02-08,1.536,No,HP5500G,Morpheus 360,2246,Over-EarHeadphones
B08R8912QK,"Wireless Earbuds, OKD Bluetooth Earbuds Noise Cancelling, Low Latency Earbuds for Gaming, IPX5 Waterproof Sports Earbuds, Workout Headphones with Mic, Touch Control/Mono&Twin Mode/USB-C Charging",OKD,3.94 x 3.94 x 1.34 ,,2020-11-18,0.672,,,OKD-US,9025,Earbud
B08CX792JF,"Adapter 2 in 1 USB C Adapter with Type USB C Charge Port and 3.5mm Headphone Jack Dongle Converter Compatible with Google Pixel 4/4 XL/3/3 XL, Samsung Galaxy Note 10/10+, iPad Pro, One+ and More White",ZGRM,4 x 2.5 x 0.2 ,,2020-07-14,0.1296,,,WDMX,441,HeadphoneAdapters
B07ZQGFTYC,"Sesame Street Kids Headphones by CozyPhones - Volume Limited with Thin Speakers & Super Comfortable Soft Fleece Headband - Perfect Children's Earphones for School, Home & Travel – Oscar The Grouch",CozyPhones,3.5 x 1 x 5 ,,2019-10-29,0.2528,No,,Jolity,1636,Over-EarHeadphones
B00SGW9QLS,"AmoVee Acrylic Headphone Stand Gaming Headset Holder/Hanger, Extra Thick - Black",AmoVee,10.2 x 2.7 x 5.8 ,,2015-01-20,1.408,No,FBA_HDP-BK,AmoVee,66,HeadphoneStands
B01LYDQMXC,MULTITED MX10 Wireless Headphones iPhone Bluetooth Earbuds - Designed for Running and Sport Workouts with Waterproof IPX7 and Built-in Microphone with Noise Cancellation.,MultiTed,1.57 x 1.26 x 0.94 ,1 Lithium ion batteries required.,2016-12-18,0.048,No,MX10,MULTITED,677,Earbud
B07Q22G133,"DuKabel TopSeries 6.35mm (1/4 inch) to 3.5mm (1/8 inch) Headphone Jack Adapter, 1/8 (Female) to 1/4 (Male) Extension Cable, 3.5 to 6.35 Audio Cable for Mixer Guitar Piano Amplifier Speaker and More",DuKabel,6.18 x 3.87 x 0.3 ,,2019-05-05,0.1792,,MTF635,DUKABEL US,471,HeadphoneAdapters
B08HMY4TZ1,Kids Headphones Wired On Ear Headphone Lightweight Stereo Earphones Volume Control Safe Adjustable Headband Headsets with Microphone for Kids Boys Girls Adult Learning School PC Tablet (Purple),TOPEPOP,8.27 x 6.97 x 2.64 ,,2020-09-08,1.024,,,Topepop,294,On-EarHeadphones
B08CZJJGK5,OIVO Headphones Wall Hanger Mount Holder with Cable Slot & Upgarede with Rotable Design- 2 Packs,OIVO,3 x 1.7 x 1.3 ,,2020-07-15,0.3824,,,OIVO US. Direct,203,HeadphoneStands
B0002S31E2,"Roland RH-200 Stereo Monitor Headphones Black Coiled Cable – Clear, Accurate and Comfortable for Studio-Quality Monitoring",ROLAND,7.5 x 10.2 x 9.9 ,,2008-06-22,1.136,No,RH-200,Future Station,1434,Over-EarHeadphones
B00Q2VIW9M,"Bluedio T2s Bluetooth Headphones On Ear with Mic, 57mm Driver Rotary Folding Wireless Headset, Wired and Wireless headphones for Cell Phone/ TV/ PC, 40 Hours Play Time (Black)",Bluedio,7.3 x 7.9 x 3.4 ,1 Lithium Polymer batteries required. (included),2014-12-10,1.232,No,T2SBCA001,ZiRun Direct,378,On-EarHeadphones
B08PW6JTML,"bopmen Headset with Microphone - Computer PC Headset with Boom Mic, in-line Volume Control & Mute, On Ear Wired Headphones for Skype, Home, Office, Classroom, Call Center",YIZHAOSHENGXUE(SHENZHEN),7.95 x 7.17 x 2.83 ,,2021-01-01,1.344,,S100,,1125,On-EarHeadphones
B01MRP38N4,Disney’s Beauty and the Beast Over Ear Headphones with Award-Winning iHome Sound -Best Over Ear Headphones with Mic & Answer Call Button by eKids,Ekids LLC,7.88 x 3.15 x 7.88 ,,2016-11-22,1.408,No,Di-M40BY.FXv7,YellowDeal,1692,Over-EarHeadphones
B083M7HJTR,"Wireless Earbuds, Bluetooth 5.0 Earbuds 140H Playtime, Bluetooth Headphones TWS Stereo Noise Cancelling Wireless Earphones in Ear with Mic, USB-C Charging, IP7 Waterproof Headset for Sports Rose Gold",Motast,1.97 x 0.79 x 1.18 ,1 Lithium Polymer batteries required. (included),2020-01-08,0.02256,No,I09-Rose gold,Motast-US,305,Earbud
B08163PM93,"ONIKUMA Gaming Headset, Gaming Headphone with Microphone and Noise Canceling & LED Light, Memory Earmuffs for PS4, Xbox One, PC,Gamecube, Nintendo 64 (Adapter Not Included)",ONIKUMA,8.27 x 7.48 x 4.33 ,,2019-11-07,1.21,,PS4 HEADSET,ONIKUMA-US,1089,VideoGames
B08L59WT16,"[Apple MFi Certified] iPhone Headphones Adapter, Lightning to 3.5 mm Headphone Jack Adapter AUX Audio Dongle Connector Compatible with iPhone 11/X/XR/XS/SE/8/7 Plus iPad Accessory Support iOS (Black)",DESOFICON,6 x 4.3 x 0.4 ,,2020-10-28,0.10144,,,aixiong,1032,HeadphoneAdapters
B07XW3B1Z9,"Pioneer HDJ-X5BT-N Headphones, Gold",Pioneer DJ,11.5 x 10.6 x 3.5 ,,2019-09-13,2.2,,HDJ-X5BT-N,,1266,Over-EarHeadphones
B073TKL2RY,"Sunmns 5 Pairs Foam Earpads Ear Pad Cushion Cover Compatible with Sony MDR-IF240R, MDR-NC6/ Plantronics PLNAUDIO478/ Logitech H600 Headphone, 2-5/16 Inch",SunmnDirect,2.36 x 2.36 x 0.31 ,,2017-07-09,0.00672,No,60mm earpad,SunmnDirect,138,HeadphoneEarpads
B07Q1HX43B,"Professional Replacement Ear Pads Cushions, Earpads Compatible with Beats Studio 2.0 & 3 Wired/Wireless with Soft Protein Leather/Noise Isolation Memory Foam/Strong Adhesive Tape",SoloWIT,7 x 5 x 2 ,,2019-06-11,0.512,No,Earpads-T-Sdo-FBA,SoloWIT Online,213,HeadphoneEarpads
B00LIDDLPO,Audio-Technica HP-SC Replacement Cable for M-Series Headphones,,6 x 1.4 x 8.6 ,,2018-04-10,0.05072,No,HP-SC,,633,HeadphoneAccessories
B087TCWR7Q,"Otium Wireless Earbuds, Bluetooth 5.0 Sport Headphones Hi-Fi Stereo Bass Sound 130H Playtime Wireless Earphones IPX8 Waterproof in-Ear Buds with Mic & Charging Case for Running Workout Gym",Otium,3.47 x 2.55 x 1.42 ,,2020-04-29,1.456,,,JJtech-US,590,Earbud
B004ARSMXQ,KRK KNS 6400 On-Ear Closed Back Circumaural Studio Monitor Headphones,,10.75 x 4 x 9.75 ,,2007-06-12,1.136,No,KNS6400,,508,Over-EarHeadphones
B08QYQL6FJ,"Wireless Earbuds,Bluetooth 5.0 Earbuds Touch Control in-Ear Headphones with Wireless, 3D Stereo IPX5 Waterproof Bluetooth Headset for iOS/Android for Sport with Charging Case and Microphone",Onpro,3.94 x 3.86 x 1.38 ,1 Lithium ion batteries required. (included),2020-12-28,0.01136,,Wireless earbuds bluetooth V10-TWS,EASY LINK ICT SOLUTION LIMITED1,5387,Earbud
B07T141GHZ,"Bluetooth Beanie,Bluetooth Hat,Bluetooth Beanie Hat,Unisex Knit Wireless Running Headphones Earphones Music Hat with Stereo Speakers & Mic Unique Stocking Stuffers Novelty Headwear Tech Gifts Black",YogerYou,11 x 8 x 1 ,1 Lithium Polymer batteries required. (included),2019-06-12,1.184,,YYBT-01,YOUGER,6054,Electronics(
B00D3ITOHG,"Marshall Headphones M-ACCS-00152 Monitor Headphones, Black",,20.9 x 14.2 x 8.2 ,1 Lithium ion batteries required.,2013-05-04,1.536,No,M-ACCS-00152,,784,Over-EarHeadphones
B07WNTZ15R,"Tvoip 100Pcs Black Non-Woven Sanitary Headphone Ear Cover, Disposable Super Stretch Covers Germproof Deodorizing and Washable, for Most On Ear Headphones with 8.5~10cm Earpads (L - 11cm)",Tvoip,6.9 x 5.4 x 2.5 ,,2019-08-20,0.768,,,Tvoip -us,3286,HeadphoneEarpads
B07Y1KG9SR,"Anker Soundcore Life Q20 Hybrid Active Noise Cancelling Headphones, Wireless Over Ear Bluetooth Headphones with 40H Playtime, Hi-Res Audio, Deep Bass, Memory Foam Ear Cups and Headband (Renewed)",Anker,7.68 x 7.09 x 3.07 ,1 Lithium Polymer batteries required. (included),2019-11-10,1.488,,AK-A3025011,AnkerDirect,295,Over-EarHeadphones
B08JB49DCR,"LOBKIN Foldable Wired Over Ear Kids Headphone with Glowing Light for Girls Children Cosplay Fans,Cat Ear Headphones (Pink)",LOBKIN,7.64 x 6.14 x 2.05 ,2 CR2 batteries required. (included),2020-09-09,1.456,,,,1293,Over-EarHeadphones
B00503KPYS,"eKids Cars Kids Headphones, Adjustable Headband, Stereo Sound, 3.5Mm Jack, Wired Headphones for Kids, Tangle-Free, Volume Control, Childrens Headphones Over Ear for School Home, Travel","KIDdesigns, Inc",1 x 1 x 1 ,,,1.136,No,CR-140.EXv7i,ACMS,387,On-EarHeadphones
B07VRFLZHZ,"Bose Frames, Audio Sunglasses with Open Ear Headphones, Alto S/M, Black with Bluetooth Connectivity",BOSE,2 x 5.81 x 2 ,1 Lithium Polymer batteries required. (included),2019-10-02,1.536,No,840667-0100,,10801,Electronics(
B07339X2KQ,"Yomuse C89 On Ear Foldable Headphones with Microphone, Adjustable Headband for Kids Adults, iPhone iPad iPod Computers Tablets Smartphones DVD, Camo Green",Yomuse,7.5 x 2.9 x 7.1 ,,2017-06-22,1.408,No,Camo,RockPapaDirect,636,On-EarHeadphones
B08PP4HF6F,"Headsets with Microphone, Headphone with Noise Cancelling Boom Microphone, Wired 3.5mm Audio Jack for Laptop,Mac,Phones,Desktop PC,Computer for Home,Office, School,Student.Durable and Lightweight.",ANYWY,5.91 x 9.84 x 1.97 ,,2020-12-04,0.6368,,,LeoGrin,229,ComputerHeadsets
B07GLTGP54,"Bulk Earbuds Headphones Wholesale Earphones, Keewonda 100 Pack Disposable Ear Buds Bulk Individually Wrapped Headphones for School Classroom Students",Keewonda,0.79 x 0.79 x 0.79 ,,2018-08-18,2.512,No,KWA-08-W,keewonda,4427,Earbud
